Elgeseter PM10µg/m³,Elgeseter PM2.5µg/m³,Elgeseter NO2µg/m³,Hour,Trafikkmengde,Year,Month,Day
2.7,1.7,1.7,23,329,2022,10,19
2.2,6.7,6.3,23,618,2023,6,24
15.4,14.3,26.9,21,644,2023,1,15
4.709999999999999,2.95,5.3,21,744,2023,7,30
17.2,12.9,61.9,12,1581,2023,1,18
11.9,6.1,12.4,13,849,2023,4,2
15.75,5.91,14.7,14,1606,2023,5,6
10.6,3.0,18.5,11,721,2023,3,5
16.23,6.609999999999999,13.5,10,1660,2023,8,24
2.0,2.2,5.7,5,87,2023,4,1
4.3,3.3,20.6,6,815,2022,12,15
2.8,1.4,8.27,3,356,2022,10,2
43.5,11.3,31.0,14,2047,2023,6,12
4.7,2.8,10.0,15,2253,2023,2,8
6.5,6.7,1.3,1,111,2023,3,3
3.2,4.7,15.9,23,286,2023,1,18
2.3,4.7,22.7,3,74,2023,3,9
15.2,4.4,14.32,9,1540,2022,10,20
14.96,6.7,14.5,10,1525,2023,8,23
1.3,2.6,29.0,9,1608,2023,1,31
7.479999999999999,3.37,4.0,22,549,2023,7,16
14.62,5.75,20.6,20,876,2023,5,12
10.1,0.6,12.599999999999998,15,2206,2023,9,29
52.3,11.2,24.4,9,1421,2022,11,14
6.3,7.3,26.9,22,545,2023,1,16
2.9200000000000004,1.5499999999999998,2.2,7,387,2023,4,10
15.4,6.0,39.0,19,712,2023,4,1
10.84,4.35,7.1,1,267,2023,7,15
11.5,6.2,3.5,18,736,2022,12,27
13.1,4.0,13.3,14,1400,2023,9,10
0.7,2.5,39.7,8,1863,2023,2,14
1.6,1.6599999999999997,1.6,1,100,2023,6,20
10.84,4.35,7.1,23,479,2023,7,14
38.1,37.0,34.1,12,1112,2022,12,11
1.6,2.0,30.3,13,1703,2023,2,28
13.4,4.2,7.7,0,130,2023,4,18
0.6,1.7,11.7,7,1711,2023,1,11
13.726756302521007,6.1375126050420175,16.583335387649452,10,1721,2022,12,20
33.4,7.8,28.5,8,1687,2022,11,14
16.6,7.3,7.6,12,1312,2023,6,17
14.679999999999998,3.72,7.4,4,76,2023,5,19
7.18,2.99,3.9,8,322,2023,8,5
7.359999999999999,4.450000000000001,12.1,17,1645,2023,5,16
13.1,11.7,33.0,20,1051,2022,12,15
9.9,4.4,21.3,20,900,2023,2,28
3.61,3.6,3.2,0,335,2023,7,29
87.6,10.5,18.0,14,1928,2022,11,15
10.2,2.1,9.3,15,2174,2023,9,20
3.3200000000000003,2.41,2.7,23,300,2023,6,4
4.0,1.3,4.2,14,1292,2023,4,10
13.160000000000002,3.1,8.1,23,519,2023,5,20
0.0,0.8,12.4,2,44,2023,1,11
9.08,5.4,16.5,12,978,2023,7,30
2.5,1.7,7.4,14,1049,2022,12,26
4.1,3.3,12.0,4,84,2022,12,15
8.3,8.8,25.3,14,877,2023,2,15
5.34,2.64,1.9,3,72,2023,8,11
1.5,1.2,4.0,2,76,2022,12,25
0.0,0.1,17.4,16,1821,2023,2,27
15.360000000000005,4.01,11.2,19,894,2023,7,23
11.5,8.5,16.6,16,1867,2023,2,13
0.0,0.0,5.4,8,277,2023,3,12
13.080000000000002,5.4,20.1,8,1762,2023,8,24
5.1,8.8,7.6,11,737,2023,6,25
9.4,6.1,35.7,15,2269,2022,10,26
1.6,0.8,5.23,4,71,2022,10,6
0.0,0.0,1.9,11,1023,2022,12,29
178.4,16.4,37.7,18,1234,2022,11,15
15.11,8.629999999999999,28.7,19,1083,2023,5,12
35.1,2.9,6.4,11,1019,2023,4,14
0.7,0.4,7.469999999999999,2,293,2022,10,8
5.2,2.4,10.9,2,60,2023,9,21
41.260000000000005,6.989999999999999,39.7,14,1848,2023,8,7
21.7,18.4,64.8,21,374,2023,1,10
3.88,3.53,5.5,23,381,2023,7,25
0.0,2.4,4.6,5,77,2023,4,8
12.35,4.94,15.0,21,896,2023,8,29
3.5,4.4,13.6,19,1225,2023,6,25
18.1,5.4,10.4,22,685,2023,6,7
12.2,7.8,23.7,17,1443,2022,11,9
9.71,3.72,5.4,2,112,2023,5,5
1.4,3.1,17.7,22,671,2023,1,12
18.92,7.69,22.9,9,1702,2023,5,4
3.0,4.8,20.1,21,690,2023,3,5
9.3,8.2,16.0,2,584,2022,12,4
23.1,18.0,24.1,19,1061,2022,12,4
2.25,1.39,3.0,21,699,2023,7,11
9.13,3.46,23.7,7,1826,2023,5,22
0.0,0.0,2.7,1,51,2023,2,28
4.1,0.0,1.7,0,523,2022,11,26
5.9,4.8,8.6,4,65,2022,11,1
7.6,6.7,16.0,1,124,2022,12,2
9.5,3.4,4.6,2,516,2022,11,6
3.3200000000000003,2.41,2.7,7,332,2023,7,2
0.4,0.1,9.55,11,999,2022,12,27
1.0,0.0,18.1,10,1434,2022,12,7
14.679999999999998,3.72,7.4,10,838,2023,5,17
7.57,4.29,9.4,14,1758,2023,8,2
31.95,10.73,21.2,12,1690,2023,7,3
5.6,3.5,16.85,23,288,2023,9,27
27.879999999999995,11.43,35.8,17,1216,2023,5,7
6.13,4.380000000000001,6.3,18,783,2023,7,16
0.0,1.0,22.2,10,1498,2023,3,7
2.8,2.6,12.7,12,810,2023,3,12
6.1,4.9,4.0,0,152,2023,9,15
14.9,13.8,14.2,10,702,2022,12,4
6.7,7.7,11.8,12,857,2023,6,25
20.3,12.6,21.8,12,1791,2023,6,13
4.1,3.8,2.6,4,203,2023,6,17
4.8100000000000005,2.12,2.6,6,157,2023,8,13
5.9,4.4,17.82,8,1626,2022,10,11
4.709999999999999,2.95,5.3,4,81,2023,8,17
4.1,5.5,31.4,18,1091,2023,1,14
13.47,7.289999999999999,30.0,6,902,2023,6,22
5.2700000000000005,3.64,3.6,0,347,2023,7,16
13.726756302521007,6.1375126050420175,16.583335387649452,8,1818,2023,9,5
0.0,0.5,5.6,23,607,2023,2,11
0.0,0.0,6.4,6,899,2023,1,25
4.1,7.5,14.7,20,869,2023,2,20
3.61,3.6,3.2,22,594,2023,5,9
10.7,0.9,8.7,15,1512,2022,11,5
12.0,5.4,36.2,7,1791,2023,9,21
119.6,14.0,37.3,22,703,2022,11,15
21.590000000000003,7.1,34.9,14,2006,2023,5,30
6.7,5.7,25.4,17,1293,2023,2,11
42.4,3.8,22.7,18,1244,2023,4,17
0.0,0.0,3.1,10,532,2023,1,15
8.3,7.4,36.7,13,1705,2022,12,23
6.0,2.5,19.1,13,1434,2022,11,5
1.6,1.6599999999999997,1.6,3,71,2023,6,20
6.7,3.24,9.2,18,913,2023,7,18
24.79,7.75,20.5,11,1632,2023,8,16
9.71,3.72,5.4,14,1518,2023,7,24
6.4,3.8,11.36,18,1181,2023,9,28
35.1,8.7,29.9,18,1247,2023,9,6
0.7,1.1,1.1,4,88,2023,1,7
18.92,7.69,22.9,9,1678,2023,5,31
17.2,16.2,53.2,13,1389,2023,1,2
0.0,0.0,4.0,0,152,2022,12,19
21.4,21.1,18.0,23,242,2022,12,11
0.0,0.0,0.4,3,289,2023,3,12
13.160000000000002,3.1,8.1,21,807,2023,8,23
19.06,7.969999999999999,37.5,17,1418,2022,11,22
8.3,6.6,23.04,19,1016,2022,10,11
13.1,16.7,34.61,0,131,2023,2,22
9.1,8.4,41.8,16,1870,2022,12,14
7.8,4.9,2.6,5,155,2022,11,11
6.1,6.1,35.6,18,1170,2023,3,13
7.359999999999999,4.590000000000001,24.6,6,922,2023,5,25
23.94,8.45,26.5,8,1843,2023,5,3
11.1,6.4,14.4,16,1753,2023,6,15
24.74,6.459999999999999,27.4,6,947,2023,6,1
11.5,4.17,12.5,12,1244,2023,9,2
0.0,0.9,1.4,0,184,2023,4,6
9.4,3.76,12.7,7,356,2023,5,14
1.8,0.5,2.7,2,97,2022,12,24
4.8100000000000005,2.12,2.6,6,152,2023,7,2
17.050000000000004,5.01,23.0,5,190,2023,5,5
2.1,3.5,1.2,2,85,2023,4,14
4.2,3.0200000000000005,2.9,4,97,2023,8,18
72.2,15.1,52.7,7,1755,2023,6,19
35.5,30.1,35.8,18,1576,2022,12,3
13.06,5.6,17.7,5,163,2023,5,4
6.3,4.3,12.4,3,60,2022,10,28
11.5,4.17,12.5,17,1026,2023,7,10
15.6,11.8,13.5,23,241,2022,10,31
5.5,2.1,3.7,3,186,2023,9,16
4.709999999999999,2.95,5.3,21,869,2023,8,19
16.1,9.9,4.8,15,1324,2023,6,17
13.549999999999995,3.97,18.7,7,1852,2023,8,29
10.260000000000002,4.45,7.5,19,1027,2022,11,22
7.1,3.3,20.7,18,621,2023,4,7
0.0,0.0,2.9,1,82,2023,3,21
5.3,3.2,27.2,9,1524,2023,1,9
5.0,5.8,13.8,22,575,2023,2,24
3.5,5.4,9.7,15,1315,2023,6,24
7.9,5.0,13.7,23,454,2023,4,1
3.3200000000000003,2.41,2.7,4,84,2023,8,24
9.71,3.72,5.4,16,1529,2023,7,6
11.8,4.8,31.1,6,850,2023,4,17
2.0,0.0,4.2,22,720,2022,11,24
8.4,7.1,6.0,4,80,2022,11,7
19.16,9.21,36.3,15,2285,2023,8,21
19.4,10.7,23.5,12,1102,2022,11,20
12.26,6.519999999999999,10.5,23,573,2023,6,3
6.82,3.77,12.8,13,1917,2023,8,23
0.0,0.2,24.8,7,1866,2023,3,22
13.549999999999995,3.97,18.7,7,1761,2023,8,25
11.21,3.86,6.8,20,858,2023,4,24
7.0,1.5,2.6,0,121,2023,9,6
18.56,6.43,16.9,15,1710,2023,7,17
10.3,5.2,24.85,8,1659,2023,9,29
7.0,9.6,21.6,21,569,2023,3,6
5.9,6.5,3.9,4,80,2023,6,29
0.0,0.3,3.0,5,107,2023,2,19
9.8,2.3,15.53,13,1764,2022,10,3
5.7,5.2,4.8,2,117,2023,4,21
6.4,4.0,4.9,23,265,2023,2,28
3.5,8.4,3.6,3,221,2023,4,22
7.479999999999999,3.37,4.0,22,518,2023,8,6
10.8,6.2,8.0,0,246,2023,6,15
0.0,0.5,2.3,4,105,2023,1,8
20.7,10.0,14.4,22,699,2022,10,20
7.3,5.1,68.0,7,1661,2022,12,19
5.3,4.7,6.5,19,223,2022,12,24
0.5,1.6,5.2,13,930,2023,2,26
14.34,6.529999999999999,19.7,7,1146,2023,7,12
9.0,8.9,39.5,0,174,2023,3,13
7.4,4.0,35.3,16,1172,2023,1,15
27.27,9.07,31.9,14,2027,2023,5,15
8.2,3.6,9.5,20,1070,2023,6,8
4.9,6.2,8.8,4,81,2023,1,3
10.2,5.2,36.2,13,1635,2023,3,15
9.2,4.1,12.0,7,398,2023,4,1
6.469999999999999,4.59,8.2,19,1079,2023,8,23
6.3,5.5,11.5,0,186,2022,12,7
11.6,5.2,4.0,23,518,2022,11,4
2.0,1.4,23.8,16,1757,2023,3,13
3.0,2.2,7.5,4,75,2022,11,30
1.2,0.5,10.79,2,62,2022,10,7
2.2,2.7,26.6,5,155,2023,1,18
10.84,4.35,7.1,8,338,2023,7,8
8.290000000000001,4.640000000000001,8.6,16,1142,2023,7,9
37.8,35.2,62.5,16,1652,2022,12,17
2.2,1.0,10.8,8,1773,2022,10,19
7.0,3.5,33.8,6,918,2023,3,21
17.050000000000004,5.01,23.0,13,1798,2023,8,25
6.13,4.380000000000001,6.3,23,351,2023,7,5
3.2,0.5,5.8,5,114,2022,10,23
19.3,10.5,9.0,18,1030,2023,6,17
2.5,1.3,22.2,14,1761,2022,10,19
0.0,0.0,1.7,2,325,2023,3,4
19.8,0.6,13.5,9,746,2022,11,5
8.290000000000001,4.640000000000001,8.6,22,569,2023,5,21
8.9,5.3,5.6,3,55,2022,10,18
44.1,44.1,58.1,22,1280,2023,2,4
1.3,0.5,14.5,9,1555,2022,12,7
31.95,10.73,21.2,15,2290,2023,8,15
7.1,7.4,21.4,17,933,2023,4,4
2.0900000000000003,2.63,3.7,3,60,2023,5,24
8.1,4.3,13.960000000000004,13,1728,2023,9,27
2.1,1.0,4.0,19,1071,2023,2,8
13.04,5.33,10.0,18,1243,2023,5,13
20.1,7.2,12.1,16,1814,2023,6,21
6.3,4.95,11.4,10,1357,2023,8,3
28.84,7.82,27.2,17,1148,2023,9,3
6.1,2.2,16.46,7,386,2022,10,1
13.7,2.0,10.6,20,950,2023,6,6
2.5,3.1,26.5,10,1540,2023,3,20
10.8,3.65,10.4,13,1468,2023,7,26
4.1,2.8,2.7,22,638,2023,3,3
0.0,2.0,2.4,3,52,2023,2,28
24.910000000000004,7.15,20.8,13,1695,2023,9,5
3.1,2.1,9.77,10,1618,2022,10,17
3.8,0.0,6.7,9,530,2023,9,16
3.76,3.0,5.8,20,869,2023,7,27
15.550000000000002,6.410000000000001,16.7,13,1885,2023,4,28
15.85,5.49,13.7,6,483,2023,7,20
3.76,3.0,5.8,15,1355,2023,5,14
17.1,13.3,19.2,23,323,2022,11,9
4.1,3.8,18.7,9,1519,2023,2,3
4.1,3.1,18.78,23,299,2022,10,5
7.18,2.99,3.9,6,166,2023,5,29
22.0,4.3,6.2,14,1246,2023,4,5
13.726756302521007,6.1375126050420175,16.583335387649452,10,1829,2023,5,15
6.7,7.9,16.8,23,248,2023,4,3
148.0,10.6,49.7,7,1902,2022,11,2
2.0900000000000003,2.63,3.7,8,221,2023,7,9
13.3,4.2,34.4,19,904,2022,11,26
24.4,8.05,21.3,18,1258,2023,5,3
6.44,3.08,11.1,7,438,2023,5,13
11.0,11.7,28.8,17,787,2023,1,1
12.07,5.790000000000001,19.8,11,1640,2023,5,8
2.31,2.44,1.5,7,438,2023,5,18
19.3,1.6,18.1,7,1864,2022,11,29
17.2,4.7,27.4,14,2017,2023,1,20
4.26,2.28,0.7,2,222,2023,5,17
10.97,4.0600000000000005,17.3,13,1565,2023,8,12
39.6,5.4,28.1,7,1982,2023,4,18
20.6,4.3,17.7,20,990,2023,9,15
0.0,0.0,3.7,4,70,2023,2,6
11.86,5.0,7.8,23,409,2023,8,14
15.1,5.29,9.0,22,562,2023,7,23
6.13,4.380000000000001,6.3,17,1109,2023,7,13
9.3,10.3,21.0,7,341,2023,6,18
14.9,9.4,7.1,1,525,2023,6,10
4.9,5.6,33.9,9,1401,2023,1,16
39.2,3.6,20.4,13,1844,2023,6,23
11.5,4.17,12.5,13,1832,2023,8,14
13.12,5.369999999999999,10.3,21,918,2023,5,15
6.319999999999999,3.3300000000000005,4.8,21,754,2023,7,6
5.9,4.4,8.6,1,349,2023,1,8
1.5,4.7,12.7,3,68,2023,2,22
2.4,1.3,10.080000000000002,23,302,2022,10,11
0.0,0.3,3.7,4,70,2023,1,25
39.1,6.6,20.1,8,1807,2023,3,2
1.6,0.8,7.4,23,278,2023,6,5
15.0,11.0,7.0,8,330,2023,6,11
2.8,1.8,3.4,16,711,2022,12,25
0.0,0.0,13.9,5,174,2022,12,15
14.4,9.1,12.6,23,236,2022,11,6
3.5,4.2,23.9,12,1595,2023,2,2
10.4,4.4,8.7,22,639,2023,9,5
0.0,0.0,42.0,6,904,2023,2,8
10.87,5.11,13.8,18,1062,2023,8,18
30.9,9.3,10.6,12,1703,2023,4,11
4.3,3.6,16.8,13,1663,2023,3,1
8.440000000000001,5.55,7.7,11,1240,2023,7,27
3.54,3.3200000000000003,2.5,0,181,2023,6,20
0.4,2.3,12.6,13,1705,2023,3,22
4.7,1.4,8.3,7,341,2022,10,23
5.2,3.0,16.240000000000002,18,1317,2022,10,5
12.0,5.9,13.7,22,1047,2023,9,15
6.4,5.5,43.5,6,793,2022,12,9
11.4,13.8,40.6,19,993,2023,2,7
10.19,3.99,6.9,5,80,2023,8,26
0.0,0.0,2.2,23,343,2022,12,25
7.7,4.0,21.99,17,1499,2022,10,5
8.290000000000001,4.640000000000001,8.6,15,2260,2023,5,9
11.5,4.17,12.5,12,1312,2023,5,6
27.7,4.8,30.6,6,869,2023,4,19
45.9,15.4,16.9,11,1735,2023,6,19
1.9,0.0,12.9,12,1844,2023,3,3
48.1,35.8,59.2,16,1182,2023,1,22
6.319999999999999,3.3300000000000005,4.8,6,142,2023,7,9
50.2,41.3,56.2,18,956,2023,1,22
1.9,1.7,13.9,4,89,2022,12,2
52.2,10.8,32.52,8,1842,2023,4,19
1.35,1.49,1.4,2,91,2023,8,7
2.6,3.6,9.4,19,959,2023,1,25
11.1,3.1,3.9,22,673,2022,11,4
11.35,5.42,18.8,8,1794,2023,5,12
5.9,5.3,24.4,6,910,2022,12,13
40.7,11.3,32.7,15,2262,2022,10,31
28.0,26.4,62.8,17,1011,2022,12,28
3.25,2.16,1.3,8,174,2023,7,23
12.6,3.8,19.1,21,992,2023,9,15
9.4,10.1,11.0,19,886,2023,1,8
21.3,21.7,68.4,18,1101,2023,2,3
4.2,1.4,7.2,20,819,2023,3,24
3.4,2.3,22.0,18,1069,2023,1,28
5.2700000000000005,3.64,3.6,5,78,2023,6,24
19.4,13.6,7.2,8,289,2023,2,5
5.2700000000000005,3.64,3.6,8,241,2023,6,25
20.96,6.49,14.1,13,1024,2023,8,27
10.87,5.11,13.8,22,616,2023,5,10
11.0,10.3,24.1,16,1830,2022,12,16
7.540000000000001,4.999999999999999,13.3,18,1203,2023,9,1
4.5,5.7,7.0,0,374,2023,1,14
3.7,4.2,16.490000000000002,12,1628,2023,1,24
3.7,3.0,16.1,13,1352,2023,3,18
10.84,4.35,7.1,19,869,2023,7,25
3.6,2.8,9.3,11,846,2022,11,6
30.5,31.1,59.5,17,1366,2023,2,4
5.8,7.0,42.1,8,1722,2023,2,16
6.860000000000001,3.25,10.1,22,703,2023,8,5
0.0,3.2,7.159999999999999,23,289,2023,2,20
8.2,8.1,22.6,13,1615,2023,2,15
10.19,3.99,6.9,11,733,2023,8,20
5.470000000000001,4.76,4.5,20,806,2023,6,26
8.83,3.18,5.2,6,208,2023,5,27
12.35,4.94,15.0,16,1768,2023,8,15
4.4,7.1,30.4,20,665,2023,4,4
12.69,4.540000000000001,13.0,7,389,2023,5,20
1.7,1.0,8.969999999999999,2,52,2022,10,12
2.9200000000000004,1.5499999999999998,2.2,1,135,2023,7,21
50.3,16.1,25.2,23,265,2023,3,28
12.26,6.519999999999999,10.5,13,1924,2023,5,15
11.13,4.39,13.4,14,1624,2023,4,29
5.9,2.7,9.9,10,541,2023,4,2
3.0,2.14,2.1,4,72,2023,7,17
3.0,2.5,15.2,20,911,2023,1,30
2.84,2.01,0.8,1,91,2023,6,1
17.7,18.1,47.0,19,1186,2023,3,9
13.7,6.7,4.7,19,1051,2023,4,11
5.0,1.7,21.1,15,998,2023,2,10
14.4,12.6,12.4,17,1437,2023,6,13
3.54,3.3200000000000003,2.5,1,171,2023,6,16
16.8,4.6,7.8,17,1198,2023,3,26
30.3,16.8,40.6,22,631,2023,3,31
10.52,6.01,9.5,13,1174,2023,8,13
2.41,1.16,2.8,2,91,2023,7,12
29.2,10.5,59.2,20,713,2023,3,31
5.5600000000000005,3.11,18.3,11,1016,2023,5,20
7.9,3.7,11.4,12,986,2023,3,5
3.6,2.5,8.31,11,700,2022,10,9
15.6,15.8,19.3,0,620,2022,12,10
38.0,5.4,36.2,6,884,2023,3,28
2.2,3.1,22.4,4,86,2023,3,27
7.8,3.8,24.21,16,1776,2023,9,27
82.9,12.9,62.6,13,1833,2023,2,17
2.6,1.9,12.830000000000002,23,623,2022,10,7
8.8,4.2,7.0,22,622,2023,6,12
14.1,4.2,12.5,2,373,2022,10,22
0.0,0.2,8.2,12,1705,2023,1,12
1.0,2.5,5.5,0,166,2023,1,13
20.3,2.5,15.8,19,1172,2022,11,29
19.43,5.640000000000001,11.5,7,905,2023,7,28
1.6,0.3,8.190000000000001,3,54,2022,10,12
11.52,7.37,22.5,17,1431,2023,8,29
6.7,1.0,41.8,10,1486,2023,9,25
10.6,14.5,11.0,0,189,2023,3,24
10.4,4.9,25.2,7,1763,2022,11,25
0.0,1.7,7.2,6,191,2023,4,7
15.8,14.5,47.7,13,1583,2023,1,3
14.7,4.1,10.3,23,337,2023,4,19
9.7,2.2,12.7,23,244,2023,9,10
14.9,6.5,18.5,11,1707,2023,8,25
2.8,1.4,3.3,3,76,2022,12,24
3.4,4.7,10.1,20,957,2023,3,17
0.0,0.7,17.6,6,915,2023,3,13
7.6,7.0,14.5,20,939,2023,3,21
3.0,1.9,7.7,3,108,2023,3,14
0.0,1.1,5.0,3,332,2023,1,15
9.0,11.1,17.1,7,1740,2023,6,28
14.589999999999998,5.61,9.3,21,-,2023,7,4
5.0,6.4,27.3,11,1493,2023,1,16
4.1,2.5,15.8,5,160,2023,9,22
8.4,6.4,9.4,8,442,2023,4,22
8.57,2.99,5.9,21,868,2023,9,4
8.6,9.1,42.3,17,1459,2023,2,2
0.9,4.0,18.4,19,1157,2023,3,23
0.1,0.9,18.3,23,224,2023,3,13
9.9,5.5,32.1,14,2056,2023,3,10
14.7,4.1,10.37,7,1680,2023,9,29
12.5,3.9,4.0,23,337,2022,11,3
19.55,6.380000000000001,22.0,13,1043,2023,7,30
1.4,0.6,20.7,9,1034,2022,12,23
21.3,13.4,28.4,19,1088,2022,10,27
7.2,1.2,10.9,11,1133,2022,11,26
6.0,6.8,17.6,23,237,2023,1,23
2.8300000000000005,2.73,3.8,21,871,2023,5,30
7.5,7.8,28.7,22,578,2023,1,17
30.7,6.6,28.5,18,1153,2023,9,25
7.4,1.7,7.7,17,999,2023,9,17
2.6,2.6,10.7,5,218,2023,3,15
11.3,2.4,14.3,4,75,2023,9,29
13.1,9.9,11.5,13,1652,2023,3,3
22.7,6.1,24.9,15,1460,2022,11,19
10.7,4.4,12.9,21,607,2022,11,20
31.0,11.1,19.5,12,1829,2023,6,22
12.1,7.3,18.02,9,1306,2022,10,14
2.41,1.16,2.8,0,143,2023,5,16
2.42,2.54,3.5,4,65,2023,7,10
4.1000000000000005,1.5599999999999998,2.4,4,72,2023,7,1
15.1,5.29,9.0,23,602,2023,6,2
20.96,6.49,14.1,19,1116,2023,7,9
7.2,5.4,19.8,12,1596,2023,3,21
9.290000000000004,4.950000000000001,8.5,19,934,2023,5,26
6.13,4.380000000000001,6.3,2,80,2023,5,11
10.06,6.94,14.6,14,1562,2023,7,18
33.13,8.6,26.7,7,1878,2023,6,22
1.4,0.5,16.9,6,727,2022,12,16
9.5,3.4,31.5,18,1147,2023,3,15
2.6,0.4,3.4,2,51,2023,9,18
11.3,3.7,9.9,3,68,2023,3,28
31.5,17.3,62.7,15,2264,2022,12,20
3.0,1.5,10.11,4,64,2022,10,5
0.0,1.8,12.9,7,1581,2023,6,30
14.5,9.1,64.6,11,1645,2023,1,18
2.0,1.6,15.11,18,1041,2023,2,23
15.0,5.5,18.2,8,886,2023,4,4
0.0,0.0,8.5,21,765,2023,1,9
21.76,6.659999999999999,25.4,8,1808,2023,5,16
18.8,6.5,24.5,15,2314,2022,11,9
26.1,8.8,46.7,19,724,2023,4,3
6.4,6.7,40.9,5,183,2023,1,4
7.6,6.2,51.3,7,1857,2023,3,16
21.8,10.9,15.1,21,833,2023,9,8
0.0,2.3,11.37,23,278,2023,2,19
4.1000000000000005,1.5599999999999998,2.4,4,81,2023,8,16
23.1,4.6,9.0,7,1839,2023,9,7
13.9,4.5,14.7,15,1460,2023,9,23
2.6,1.3,5.9,21,835,2023,9,19
13.47,7.289999999999999,30.0,6,945,2023,5,2
0.4,2.2,2.7,3,85,2023,6,8
112.1,12.1,72.8,7,1783,2023,3,31
3.8,0.0,2.1,9,400,2023,4,6
5.470000000000001,4.76,4.5,23,370,2023,8,13
19.2,2.8,17.3,9,1579,2023,6,5
6.44,3.08,11.1,9,1678,2023,4,25
4.2,6.3,11.5,23,311,2023,3,9
3.0,1.2,9.1,19,1109,2023,2,9
31.3,7.2,16.9,14,1536,2023,6,10
5.18,2.91,2.3,22,511,2023,4,23
0.0,0.9,7.0,0,550,2023,1,15
3.4,1.9,7.4,19,1154,2022,10,19
28.44,7.85,17.1,0,457,2023,6,3
0.0,0.0,2.0,5,65,2022,12,31
20.4,21.0,38.0,20,922,2023,3,9
5.7,5.3,4.4,21,830,2023,3,16
6.7,8.1,8.9,7,415,2023,1,28
1.1,1.8,24.1,15,2273,2023,2,27
17.2,5.3,46.4,18,1320,2022,11,26
8.0,6.9,62.3,15,2297,2023,2,14
5.470000000000001,4.76,4.5,19,1005,2023,8,8
42.2,40.7,54.6,18,1412,2022,12,17
9.1,3.3,7.5,0,128,2023,9,11
11.21,3.86,6.8,10,1088,2023,7,18
4.3,0.8,14.54,9,1550,2022,10,6
14.7,7.4,18.9,19,922,2023,8,25
22.5,5.6,16.4,17,1233,2023,9,16
3.2,0.5,9.94,11,1560,2022,10,11
5.6,2.5,4.2,3,67,2023,9,11
13.12,5.369999999999999,10.3,0,201,2023,8,1
10.19,3.99,6.9,21,707,2023,7,24
16.03,5.839999999999999,24.7,14,2198,2023,6,2
0.0,1.8,4.0,8,252,2022,12,31
1.7,1.7,6.3,3,173,2023,4,1
0.0,0.4,2.4,6,162,2023,2,26
25.7,10.1,13.6,22,666,2023,4,21
23.5,2.0,9.8,10,848,2022,11,5
9.94,4.73,7.3,5,92,2023,5,14
47.8,6.0,36.8,12,1889,2023,6,9
12.0,6.5,22.2,18,1274,2023,2,28
6.860000000000001,3.25,10.1,8,851,2023,7,26
12.35,4.94,15.0,15,2107,2023,8,28
1.0,3.5,7.910000000000001,4,79,2023,2,23
10.06,6.94,14.6,17,1341,2023,4,29
27.5,9.7,19.5,20,967,2022,10,20
5.1,2.4,7.1,20,853,2023,4,14
1.8,2.0,24.8,9,1413,2023,6,30
10.84,4.35,7.1,15,1419,2023,5,27
33.13,8.6,26.7,6,949,2023,5,22
9.9,1.1,8.6,16,1823,2022,11,28
8.5,6.8,17.2,6,880,2022,10,31
6.9,4.1,15.0,14,1062,2023,4,2
20.3,8.7,49.4,7,1618,2022,12,20
0.4,0.0,1.9,23,358,2022,11,10
2.3,0.0,19.9,16,1897,2022,10,19
6.3,4.95,11.4,12,1705,2023,8,15
11.79,4.05,12.4,18,1369,2023,4,28
4.6,4.2,18.5,10,1480,2023,1,25
9.94,4.73,7.3,5,165,2023,5,23
3.2299999999999995,2.16,0.9,0,204,2023,7,28
11.86,5.0,7.8,0,461,2023,9,2
4.0,2.7,5.64,2,58,2022,10,3
0.5,2.9,2.1,3,89,2023,1,27
8.8,4.2,25.4,7,1951,2022,10,18
8.9,8.1,40.0,7,1806,2022,12,12
6.9300000000000015,5.16,7.2,22,697,2023,8,4
82.9,10.8,21.8,0,141,2022,11,16
15.84,7.93,28.2,7,1814,2023,8,21
8.83,3.18,5.2,1,128,2023,7,27
0.0,0.0,1.6,1,50,2023,9,19
2.1,0.0,4.6,3,58,2023,9,18
3.6,4.4,12.9,19,876,2023,2,26
3.2,1.9,6.9,1,83,2022,11,3
1.66,1.72,1.0,2,71,2023,8,10
3.8,5.9,12.5,0,269,2023,4,10
1.2,1.1,8.9,9,350,2022,12,18
18.7,1.1,18.6,16,1883,2022,11,29
13.199999999999998,5.65,14.2,14,1946,2023,5,10
0.1,2.4,8.7,3,60,2023,2,1
3.5,3.6,11.5,0,366,2023,2,25
5.4,6.1,15.0,20,866,2023,2,26
22.8,23.7,62.0,19,1054,2023,1,31
12.760000000000002,5.220000000000001,15.4,20,1000,2023,8,30
22.0,10.6,45.7,19,1182,2022,11,2
15.2,7.8,12.3,21,927,2023,6,12
55.4,54.4,43.6,22,568,2022,12,12
0.8,2.4,19.6,9,688,2022,12,30
4.2,2.6,9.59,14,1416,2022,10,8
9.94,4.73,7.3,8,827,2023,7,25
0.0,2.9,2.1,1,84,2023,3,27
2.84,2.05,1.2,3,268,2023,5,18
19.68,5.339999999999999,25.1,9,1651,2023,5,24
1.4,3.0,22.8,6,846,2023,2,2
3.61,3.6,3.2,5,141,2023,7,14
32.3,8.9,15.0,8,1606,2023,9,8
2.8300000000000005,2.73,3.8,11,1294,2023,7,24
1.6,0.4,17.3,16,1816,2023,6,6
